"from","to"
"Age","SocioEcon"
"Age","GoodStudent"
"SocioEcon","GoodStudent"
"Age","RiskAversion"
"SocioEcon","RiskAversion"
"SocioEcon","OtherCar"
"SocioEcon","VehicleYear"
"RiskAversion","VehicleYear"
"SocioEcon","MakeModel"
"RiskAversion","MakeModel"
"Age","SeniorTrain"
"RiskAversion","SeniorTrain"
"SocioEcon","HomeBase"
"RiskAversion","HomeBase"
"SocioEcon","AntiTheft"
"RiskAversion","AntiTheft"
"VehicleYear","RuggedAuto"
"MakeModel","RuggedAuto"
"VehicleYear","Antilock"
"MakeModel","Antilock"
"Age","DrivingSkill"
"SeniorTrain","DrivingSkill"
"VehicleYear","CarValue"
"MakeModel","CarValue"
"Mileage","CarValue"
"VehicleYear","Airbag"
"MakeModel","Airbag"
"RiskAversion","DrivQuality"
"DrivingSkill","DrivQuality"
"CarValue","Theft"
"HomeBase","Theft"
"AntiTheft","Theft"
"RuggedAuto","Cushioning"
"Airbag","Cushioning"
"RiskAversion","DrivHist"
"DrivingSkill","DrivHist"
"DrivQuality","Accident"
"Mileage","Accident"
"Antilock","Accident"
"RuggedAuto","ThisCarDam"
"Accident","ThisCarDam"
"RuggedAuto","OtherCarCost"
"Accident","OtherCarCost"
"Age","MedCost"
"Accident","MedCost"
"Cushioning","MedCost"
"Accident","ILiCost"
"ThisCarDam","ThisCarCost"
"Theft","ThisCarCost"
"CarValue","ThisCarCost"
"ThisCarCost","PropCost"
"OtherCarCost","PropCost"
